city,country,Historical,espace_vert,plage,population(hab),musées,Nombre de Musées,romantique,populationType_Grande,populationType_Moyenne,populationType_Petite,musee
Oujda-Angad,Morocco,0,0,0,477100,[],0,0,1,0,0,0
Kenitra,Morocco,0,1,1,473703,[],0,0,1,0,0,0
Aves,Portugal,0,1,0,134985,["centre de l'action"],1,0,1,0,0,1
Agadir,Morocco,0,0,1,420288,[],0,1,1,0,0,0
Tétouan,Morocco,1,1,0,402118,"['musée archéologique', 'Centres internationaux de langues', ""centres universitaires majeurs du Maroc puisqu'elle abrite la Présidence de l' Université Abdelmalek Essaâdi de la région Tanger-Tétouan"", 'centre de rencontre de plusieurs styles']",4,1,1,0,0,1
Sintra,Portugal,0,1,1,377835,[],0,1,1,0,0,0
Alicante,Spain,0,1,1,349282,[],0,0,1,0,0,0
Córdoba,Spain,0,1,0,134985,[],0,0,1,0,0,0
Taourirt,Morocco,0,0,0,125615,[],0,0,1,0,0,0
Temara,Morocco,0,0,1,535000,[],0,0,1,0,0,0
Safi,Morocco,0,0,1,308508,[],0,0,1,0,0,0
Vila Nova de Gaia,Portugal,0,1,1,302295,[],0,0,1,0,0,0
Valladolid,Spain,0,1,0,297459,"['centre historique de la ville', ""musée Patio Herreriano dans l'ancien monastère""]",2,0,1,0,0,1
Vigo,Spain,0,1,1,134985,[],0,0,1,0,0,0
Gijón,Spain,0,0,1,268313,"[""Centre d'art contemporain engagé dans le développement des liens entre art"", 'musée Revillagigedo', 'Musée Nicanor Piñole Musée Juan Barjola', 'Musée Evaristo Valle', 'musée d', 'musée à propos ', 'Musées et galeries ', 'Musée international de cornemuse', 'Musée du peuple des Asturies Musée du chemin de fer ']",9,0,1,0,0,1
Vitoria-Gasteiz,Spain,0,1,0,255886,[],0,0,1,0,0,0
A Coruña,Spain,0,1,1,247376,"[""musée María Pita la casa do Home ou Domus l'aquarium Finisterrae"", 'musées aux alentours', 'musée Carlos Maside', 'musée Pazo de Mariñán', 'musée de Arte Contemporánea Unión Fenosa la Casa Picasso le musée historique', 'musée ethnographique de Culleredo']",6,0,1,0,0,1
Elche,Spain,0,0,1,238293,"[""musées d'Elche permet de voyager à travers l'histoire et les traditions de la ville avec des espaces consacrés à l'art"", ""musée d'archéologie et d'histoire d'Elche"", ""musée d'archéologie et d'histoire d'Elche""]",3,0,1,0,0,1
Granada,Spain,0,1,0,230595,[],0,1,1,0,0,0
Khénifra,Morocco,0,0,0,127047,[],0,0,1,0,0,0
Badalona,Spain,0,1,1,225957,[],0,0,1,0,0,0
Tarrasa,Spain,0,0,0,225277,"[""Centre d'interprétation médiéval de la ville de Terrassa Couvent Sant Francesc"", 'Musée de la Science et de la Technique de Catalogne', 'Centre de Documentation et Musée Textile de la Députation de Barcelone le Musée Paroissial du Sant Esperit', 'Musées Le musée de Terrassa']",4,0,1,0,0,1
El Jadida,Morocco,0,0,1,134985,[],0,0,1,0,0,0
Sabadell,Spain,0,1,0,218300,["musée d'histoire"],1,0,1,0,0,1
Cartagena,Spain,0,1,1,218050,"['musée Carmen Conde',  'musée ethnographique du Campo de Carthagène', 'Musée du théâtre romain', 'musée du théâtre romain de Carthagène', ""musée d'archéologie subaquatique"", 'musée militaire', 'musées les plus importants de la municipalité', 'musée archéologique municipal', 'musée naval de Carthagène']",9,0,1,0,0,1
Laâyoune,Morocco,0,0,1,217732,"['Cathedral of Saint Francis of Asis','Pretty skin beauty bar']",2,0,1,0,0,1
Oviedo,Spain,0,1,0,217584,[],0,0,1,0,0,0
Cascais,Portugal,0,1,1,206479,[],0,0,1,0,0,0
Jerez de la Frontera,Spain,0,1,0,213231,["centre de l'élevage des meilleurs chevaux andalous et le site de l' École royale andalouse d'art équestre"],1,0,1,0,0,1
Móstoles,Spain,0,1,0,211265,[],0,0,1,0,0,0
Mohammedia,Morocco,0,0,1,220455,[],0,0,1,0,0,0
Pamplona,Spain,0,1,0,205762,["musée de Navarre est élevé à l'emplacement d'un hôpital du XVI e siècle"],1,0,1,0,0,1
Loures,Portugal,0,1,0,623,[],0,0,0,0,1,0
Almería,Spain,0,1,1,200578,[],0,0,1,0,0,0
Alcalá de Henares,Spain,0,1,0,199184,[],0,0,1,0,0,0
Béni Mellal,Morocco,0,0,0,209563,['centre dans la partie montagneuse'],1,0,1,0,0,1
Leganés,Spain,0,1,0,134985,[],0,0,1,0,0,0
Donostia,Spain,0,0,1,188743,"['Centre Kursaal', 'Centre Culturel Koldo Mitxelena', 'Musée de la chasse à la baleine', 'Musées', 'centre culturel Arteleku', 'Musée de la Mer', 'musée rappelle cette activité traditionnelle et dangereuse des Basques', 'Musée de la mer', 'Musée San Telmo', 'centres culturels dotés de bibliothèque', 'Musée de la Mer sur aquariumss', 'Musée de la Mer', 'Musée des Sciences', 'Musée Chillida-Leku', 'Centre international de culture contemporaine', 'Musée des Sciences sur eurekamuseoa', 'Musée municipal de San Telmo']",17,0,1,0,0,1
Fuenlabrada,Spain,0,1,0,188736,[],0,0,1,0,0,0
Getafe,Spain,0,1,0,185899,[],0,0,1,0,0,0
Seixal,Portugal,0,1,1,158269,[],0,0,1,0,0,0
Braga,Portugal,0,1,1,201583,[],0,0,1,0,0,0
Almada,Portugal,0,1,1,174030,[],0,0,1,0,0,0
Castellón de la Plana,Spain,0,0,1,176238,"['Musée ethnologique offre un exemple de culture typique de la ville', 'Musée d', 'Musée de la Mer', 'Musées', 'musée des Beaux-Arts', 'Musée des beaux-arts de Castellón']",6,0,1,0,0,1
Matosinhos,Portugal,0,1,1,175478,[],0,0,1,0,0,0
Amadora,Portugal,0,1,0,175136,[],0,0,1,0,0,0
Burgos,Spain,0,1,0,174451,"['Musée de Burgos', ""musée de l'Évolution humaine"", ""musée du Retable - L'église Saint-Étienne"", 'musée de Burgos', ""Musée de l'Évolution humaine"", ""musée présente notamment les trouvailles de la Sierra d'Atapuerca"", 'galerie couverte', 'musée Marceliano Santamaria', 'centre de la ville']",9,0,1,0,0,1
Albacete,Spain,0,1,0,173206,[],0,0,1,0,0,0
Santander,Spain,0,1,1,172726,['musée maritime du Cantabrique et la baie'],1,0,1,0,0,1
Oeiras,Portugal,0,1,1,172120,[],0,0,1,0,0,0
Alcorcón,Spain,0,1,0,171772,[],0,0,1,0,0,0
Gondomar,Portugal,0,1,0,168027,[],0,0,1,0,0,0
Nador,Morocco,0,0,1,565987,['centre de recherche'],1,0,1,0,0,1
Guadalajara,Spain,0,1,0,1385629,"['centre historique', 'centre-ville', 'Centre historique']",3,0,1,0,0,1
La Laguna,Spain,0,1,0,134985,[],0,0,1,0,0,0
Guimarães,Portugal,1,1,0,161871,["centre historique de Guimarães fut déclaré Patrimoine mondial de l'humanité par l' Unesco pour ses monuments qui datent du Moyen Âge et qui"],1,0,1,0,0,1
Marbella,Spain,0,1,0,156295,[],0,0,1,0,0,0
Logroño,Spain,0,1,0,150583,['musée de la Rioja'],1,0,1,0,0,1
Badajoz,Spain,0,1,0,150190,"[""musées Itinéraire des fortifications et des portes historiques Itinéraire de l'Alcazaba Itinéraire des églises et des couvents Itinéraire des bâtiments historiques et singuliers Itinéraire des parcs et jardins Itinéraires gastronomiques Tourisme naturel et ornithologique Route des sites historiques"", 'centre historique est remarquable']",2,0,1,0,0,1
Taza,Morocco,0,0,0,152678,[],0,0,1,0,0,0
Odivelas,Portugal,0,1,0,143995,[],0,0,1,0,0,0
Salamanca,Spain,0,1,0,134985,[],0,1,1,0,0,0
Coimbra,Portugal,0,1,0,143396,[],0,0,1,0,0,0
Lleida,Spain,0,1,0,143094,[],0,0,1,0,0,0
Huelva,Spain,0,1,1,142532,[],0,0,1,0,0,0
Dos Hermanas,Spain,0,1,0,138981,[],0,0,1,0,0,0
Tarragona,Spain,0,1,1,134985,[],0,0,1,0,0,0
Vila Franca de Xira,Portugal,0,1,0,136886,[],0,0,1,0,0,0
Maia,Portugal,0,1,0,134985,[],0,0,1,0,0,0
Famalicão,Portugal,0,0,0,134985,[],0,0,1,0,0,0
Parla,Spain,0,1,0,133004,[],0,0,1,0,0,0
Mataró,Spain,0,1,1,129870,"['centre commercial', 'centre est composé de rues piétonnes', 'centre culturel important dans la comarque du Maresme', 'musées et un parc']",4,0,1,0,0,1
Torrejón de Ardoz,Spain,0,1,0,137711,[],0,0,1,0,0,0
Larache,Morocco,0,0,1,130984,[],0,0,1,0,0,0
Algeciras,Spain,0,1,1,123639,[],0,0,1,0,0,0
León,Spain,0,1,0,134985,[],0,0,1,0,0,0
Barcelos,Portugal,0,1,0,120391,[],0,0,1,0,0,0
Alcobendas,Spain,0,1,0,119416,[],0,0,1,0,0,0
Jaén,Spain,0,1,0,134985,[],0,0,1,0,0,0
Cádiz,Spain,0,1,1,111811,[],0,0,1,0,0,0
Berkane,Morocco,0,0,0,120710,[],0,0,1,0,0,0
Reus,Spain,0,1,0,134985,[],0,0,1,0,0,0
Roquetas de Mar,Spain,0,1,1,106510,"['centre de Roquetas de Mar', 'centre de Roquetas de Mar et ses quartiers les plus proches']",2,0,1,0,0,1
Ad Dakhla,Morocco,0,0,1,106277,[],0,1,1,0,0,0
Girona,Spain,0,1,1,104320,[],0,0,1,0,0,0
Ourense,Spain,0,1,0,104250,[],0,0,1,0,0,0
Telde,Spain,0,1,1,102487,[],0,0,1,0,0,0
Al Fqih Ben Çalah,Morocco,0,0,0,134985,[],0,0,1,0,0,0
San Vicente de Baracaldo,Spain,0,0,0,101229,[],0,0,1,0,0,0
Vaciamadrid,Spain,0,0,0,100275,[],0,0,1,0,0,0
Viseu,Portugal,0,1,0,134985,[],0,0,1,0,0,0
Santiago de Compostela,Spain,0,1,0,98687,"[""musée d'histoire et un musée d'art international"", ""musée du Peuple galicien occupe l'ancien monastère Santo Domingo de Bonaval qui fut fondé au début du XIII e siècle mais dont la structure actuelle date du XVII e - XVIII e siècle"", 'centre de recherche du patrimoine culturel', 'Musée du Peuple galicien']",4,0,0,1,0,1
Lorca,Spain,0,1,0,134985,[],0,0,1,0,0,0
Lugo,Spain,0,1,0,134985,[],0,0,1,0,0,0
Las Rozas de Madrid,Spain,0,1,0,98086,"['Centres culturels municipaux', ""centre héberge l'école municipale de théâtre"", 'Musée du chemin de fer']",3,0,0,1,0,1
San Cugat del Vallés,Spain,0,0,0,97530,[],0,0,0,1,0,0
Cáceres,Spain,1,1,0,134985,[],0,0,1,0,0,0
San Fernando,Spain,0,1,0,134985,[],0,0,1,0,0,0
Valongo,Portugal,0,1,0,93858,[],0,0,0,1,0,0
Errachidia,Morocco,0,0,0,92374,[],0,0,0,1,0,0
Mijas,Spain,0,1,1,91691,"['musée du vin', 'musée des miniatures']",2,0,0,1,0,1
El Ejido,Spain,0,1,0,89975,[],0,0,0,1,0,0
El Puerto de Santa María,Spain,0,1,1,89813,[],0,0,0,1,0,0
Torrevieja,Spain,0,1,1,89290,[],0,0,0,1,0,0
Viana do Castelo,Portugal,0,1,1,88725,[],0,0,0,1,0,0
Chiclana de la Frontera,Spain,0,1,1,88709,[],0,0,0,1,0,0
Torrente,Spain,0,0,0,134985,[],0,0,1,0,0,0
Paredes,Portugal,0,1,0,134985,[],0,0,1,0,0,0
Ciudad de Melilla,Spain,0,0,1,83489,[],0,0,0,1,0,0
Toledo,Spain,0,1,0,134985,[],0,0,1,0,0,0
Fuengirola,Spain,0,1,1,85598,"['Musée ouvert', 'musée de la ville et fut inauguré en 2003']",2,0,0,1,0,1
Vélez-Málaga,Spain,0,1,1,85377,[],0,0,0,1,0,0
Arona,Spain,0,1,0,134985,[],0,0,1,0,0,0
San Baudilio de Llobregat,Spain,0,0,0,83919,[],0,0,0,1,0,0
Talavera de la Reina,Spain,0,1,0,84137,['Musée national des arts décoratifs de Madrid'],1,0,0,1,0,1
Ciudad de Ceuta,Spain,0,0,1,82787,[],0,0,0,1,0,0
Pontevedra,Spain,0,1,0,82535,"['ateliers pour les enfants', 'ateliers']",2,0,0,1,0,1
Valdemoro,Spain,0,1,0,81394,[],0,0,0,1,0,0
Orihuela,Spain,0,1,1,82449,[],0,0,0,1,0,0
Rubí,Spain,0,1,0,134985,[],0,0,1,0,0,0
Sefrou,Morocco,0,0,0,85632,[],0,0,0,1,0,0
Vila do Conde,Portugal,0,1,1,79533,[],0,0,0,1,0,0
Torres Vedras,Portugal,0,1,0,79465,[],0,0,0,1,0,0
Manresa,Spain,0,1,0,78877,['centre de la jornada inaugural de la 1a Volta Ciclista a Catalunya femenina'],1,0,0,1,0,1
Aveiro,Portugal,0,1,1,80880,[],0,1,0,1,0,0
Barreiro,Portugal,0,1,0,78764,[],0,0,0,1,0,0
Queluz,Portugal,0,1,0,134985,[],0,0,1,0,0,0
Gandía,Spain,0,0,1,78108,[],0,0,0,1,0,0
Essaouira,Morocco,1,0,1,77966,["Centre régional d'investissement de Marrakech"],1,1,0,1,0,1
Fnidq,Morocco,0,0,1,91177,[],0,0,0,1,0,0
Estepona,Spain,0,1,1,76975,[ "Musée municipal d'Estepona Le Musée archéologique d'Estepona Fresques"],1,0,0,1,0,1
Mafra,Portugal,0,1,0,134985,[],0,0,1,0,0,0
Alcalá de Guadaira,Spain,0,0,0,76547,[],0,0,0,1,0,0
Palencia,Spain,0,1,0,76331,[],0,0,0,1,0,0
Molina de Segura,Spain,0,1,0,76074,[],0,0,0,1,0,0
Benalmádena,Spain,0,1,1,75801,[],0,0,0,1,0,0
Avilés,Spain,0,1,0,75518,[],0,0,0,1,0,0
Ciudad Real,Spain,0,1,0,75303,[],0,0,0,1,0,0
Paterna,Spain,0,1,0,73488,[],0,0,0,1,0,0
Majadahonda,Spain,0,1,0,134985,[],0,0,1,0,0,0
Benidorm,Spain,0,1,1,72342,[],0,0,0,1,0,0
Penafiel,Portugal,0,1,0,72265,[],0,0,0,1,0,0
Santo Tirso,Portugal,0,1,0,71530,[],0,0,0,1,0,0
Loulé,Portugal,0,1,1,70622,"[""musée tient son nom de ce qu'il est situé dans une aile restaurée du couvent du Saint-Esprit"", 'Musée du Saint-Esprit']",2,0,0,1,0,1
Torremolinos,Spain,0,1,1,70434,['musée de Torremolinos'],1,0,0,1,0,1
Sagunto,Spain,0,0,0,70128,"['centre historique', ""centre historique comprend différents monuments historiques datant de plusieurs époques différentes de l'histoire"", 'Musée archéologique de Sagonte']",3,0,0,1,0,1
Sanlúcar de Barrameda,Spain,0,1,1,69805,[],0,0,0,1,0,0
Ponta Delgada,Portugal,0,1,0,67287,"[""galeries d'art"", ""Centre d'art sacré ainsi que des collections ayant trait à l'ethnographie régionale"", 'Musée Carlos Machado', 'Musée militaire des Açores', 'Centre culturel de Ponta Delgada et la Galeria Fonseca Macedo']",5,0,0,1,0,1
Castelldefels,Spain,0,1,1,68427,[],0,0,0,1,0,0
Villanueva y Geltrú,Spain,0,0,0,68854,[],0,0,0,1,0,0
Youssoufia,Morocco,0,0,0,69945,[],0,0,0,1,0,0
Viladecáns,Spain,0,0,0,66677,[],0,0,0,1,0,0
Moita,Portugal,0,1,0,70226,[],0,0,0,1,0,0
Collado-Villalba,Spain,0,0,0,65657,[],0,0,0,1,0,0
El Prat de Llobregat,Spain,0,0,0,65516,[],0,0,0,1,0,0
Faro,Portugal,0,1,1,67650,['musée archéologique de la ville'],1,0,0,1,0,1
Arrecife,Spain,0,1,1,64826,['centre-ville sont tapissées de sel'],1,0,0,1,0,1
Martil,Morocco,0,0,1,81959,[],0,0,0,1,0,0
Póvoa de Varzim,Portugal,0,1,1,65882,[],0,0,0,1,0,0
Ferrol,Spain,0,1,0,134985,[],0,0,1,0,0,0
La Línea de la Concepción,Spain,0,1,1,63773,[],0,0,0,1,0,0
Ponferrada,Spain,0,1,0,62963,['centre historique de Ponferrada'],1,0,0,1,0,1
Granollers,Spain,0,1,0,63092,[],0,0,0,1,0,0
Irún,Spain,0,0,0,62920,['musée archéologique'],1,0,0,1,0,1
Santarém,Portugal,0,1,0,134985,['Museu Diocesano de Santarém'],1,0,1,0,0,1
Figueira da Foz,Portugal,0,1,1,62125,[],0,0,0,1,0,0
San Vicente del Raspeig,Spain,0,0,0,59928,['Museum of the University of Alicante'],1,0,0,1,0,1
Aranjuez,Spain,0,1,1,60668,"['Palais royal d'Aranjuez','Musée des felouques royales']",2,0,0,1,0,1
Skhirate,Morocco,0,0,1,58331,[],0,0,0,1,0,0
Alcoy,Spain,0,0,0,59493,"['Musées', ""Musée des Pompiers d'Alcoy"", ""musée consacré au patrimoine archéologique de la comarque d'Alcoy"", ""musée consacré aux fêtes de Maures et Chrétiens d'Alcoy"", 'Musée archéologique Camil Visedo']",5,0,0,1,0,1
Zamora,Spain,0,1,0,59259,['centre historique'],1,0,0,1,0,1
Motril,Spain,0,1,1,58939,"[""musée préindustriel du sucre Le centre d'interprétation de la canne à sucre Le centre de Développement Piscicole et la Salle d'interprétation de la Mer"", 'musée aéronautique Activités touristiques']",2,0,0,1,0,1
Felgueiras,Portugal,0,1,0,58065,[ 'Centre culturel de Lixa'],1,0,0,1,0,1
Ávila,Spain,1,1,0,57741,"['Museo del Convento de la Encarnacion','Convento de San Jose - Museo Teresiano','Museo de Avila','Mysticism Interpretation Centre']",4,0,0,1,0,1
Al Hoceïma,Morocco,0,1,1,56716,[],0,1,0,1,0,0
Mdiq,Morocco,0,0,1,68394,[],0,0,0,1,0,0
Castelo Branco,Portugal,0,1,0,56109,[],0,0,0,1,0,0
Portimão,Portugal,0,1,1,63564,"['Museu de Portimao','Casa Manuel Teixeira Gomes']",2,0,0,1,0,1
Pombal,Portugal,0,1,0,134985,"['Castelo de Pombal','Osso da Baleia Beach']",2,0,1,0,0,1
Azrou,Morocco,0,0,0,84895,['Centre Culturel d'Azrou'],1,0,0,1,0,1
Huesca,Spain,0,1,0,54136,"['Planetario de Aragón. Observatoires et planétariums','Museo de Huesca. Musées spécialisés','Museo Pedagógico de Aragón']",3,0,0,1,0,1
San Bartolomé,Spain,0,1,0,134985,"['San Bartolomé','Musée d'Ethnographie Tanit']",2,0,1,0,0,1
Alcobaça,Portugal,0,1,0,134985,"['Monastery of Alcobaça','Baia de Sao Martinho do Porto','Praia do Salgado','Museu Do Vinho De Alcobaca. Musées spécialisés']",4,0,1,0,0,1
Évora,Portugal,1,1,0,56596,['musée d'Évora'],1,0,0,1,0,1
Cuenca,Spain,1,1,0,134985,"['Museo de Cuenca','Science Museum of Castilla La Mancha']",2,0,1,0,0,1
Ibiza,Spain,0,1,1,132637,"['Musée d'Art Contemporain d'Ibiza','Museo Puget']",2,0,1,0,0,1
Vila Real,Portugal,0,1,0,51852,[],0,0,0,1,0,0
Caldas da Rainha,Portugal,0,1,1,51729,[],0,0,0,1,0,0
El Kelaa des Sraghna,Morocco,0,0,0,109915,[],0,0,1,0,0,0
Cuenca,Spain,0,1,1,134985,"[""musée d'art abstrait"",'Musée d'Art Moderne de Cuenc','Musée des cultures aborigènes']",3,0,1,0,0,1
Marco de Canavezes,Portugal,0,1,0,53961,[],0,0,0,1,0,0
Elda,Spain,0,1,1,134985,[],0,0,1,0,0,0
Pola de Siero,Portugal,0,1,0,52194,[],0,0,0,1,0,0
Covilhã,Portugal,0,1,1,51797,[],0,0,0,1,0,0
Utrera,Portugal,0,1,0,51718,['Museo Legado Hermanos Álvarez Quintero'],1,0,0,1,0,1
Évora,Portugal,0,1,1,56596,['musée d'Évora'],1,0,0,1,0,1
Qasbat Tadla,Morocco,0,0,0,49902,[],0,0,0,1,0,0
Manacor,Spain,0,1,1,46395,[],0,0,0,1,0,0
Denia,Spain,0,0,1,45622,"[ 'musée offre un échantillon représentatif de la production de jouet à Dénia', 'Musée du jouet', 'Musée archéologique']",3,0,0,1,0,1
Olhão,Portugal,0,1,1,45396,['Municipal Museum of Olhão'],1,0,0,1,0,1
Albufeira,Portugal,0,1,1,44164,"['Musée municipal ', 'musée consistent en la conservation', 'centre de la vieille ville', 'musée dispose ', 'musées depuis 2003 et bénéficie des avantages inhérents de son intégration', 'centre historique de la ville ']",6,0,0,1,0,1
Ponte de Lima,Portugal,0,1,1,44609,[],0,0,0,1,0,0
Puerto del Rosario,Spain,0,1,1,43390,"['Casa Museo Miguel de Unamuno','Centro de Arte Juan Ismael']",2,0,0,1,0,1
Alcantarilla,Spain,0,1,0,43049,"['Ethnological Museum of the Huerta','Museo escultor Anastasio Martínez Valcárcel']",2,0,0,1,0,1
Santa Cruz,Portugal,0,1,1,209395,"['centre culturel qui héberge une bibliothèque ouverte au public 24h', ""centres maçonniques d'Espagne avant sa saisie par le régime franquiste en 1936"", 'centre-ville', ""ateliers maçonniques les plus importants d'Espagne au XX e siècle"", 'musée municipal des beaux-arts', ""centre maçonnique d'Espagne jusqu'à l'occupation militaire du franquisme"", 'musée historique militaire des Canaries', 'Musées et institutions', ""centre le monument aux morts de la guerre d'Espagne"", 'Musée Municipal des Beaux-Arts de Santa Cruz de Tenerife Temple maçonnique de Santa Cruz de Tenerife', ""musée de la Nature et de l'Homme"", 'centre international de Foires et Congrès de Tenerife']",12,0,1,0,0,1
Chefchaouene,Morocco,0,0,0,42786,"['Musée Ethnographique de Chefchaouen','Kasbah Museum']",2,1,0,1,0,1
Guarda,Portugal,0,1,1,42541,[],0,0,0,1,0,0
La Orotava,Spain,0,1,1,42454,["musée situé dans l'ancien couvant Santo Domingo et qui présente une collection d'artisanat espagnol et ibéro-américain"],1,0,0,1,0,1
Puerto Real,Spain,0,1,1,42069,['centre culturel municipal'],1,0,0,1,0,1
El Aïoun,Morocco,0,0,1,41832,[],0,0,0,1,0,0
Blanes,Spain,0,1,1,41653,['Musée de la mer de Lloret de Mar'],1,0,0,1,0,1
Lloret de Mar,Spain,0,1,1,41559,[],0,0,0,1,0,0
Soria,Spain,0,1,1,39821,"['Museo Numantino','Provincial Museum of Popular Suit']",2,0,0,1,0,1
Zagora,Morocco,0,0,0,52168,"['centre de la ville', 'Musée des Arts et Traditions de la Vallée du Draa - la visite de Tamegroute et de ses poteries - la vallée du Draa et la palmeraie de Zagora et ses nombreux petits villages - le désert du Sahara']",2,0,0,1,0,1
Plasencia,Spain,0,1,0,39412,["centre de l'ancienne ville est chaque mardi le c?ur d'un marché traditionnel où on peut trouver différents produits agricoles et artisanaux"],1,0,0,1,0,1
Abrantes,Portugal,0,1,1,34329,[' Museu Nacional Ferroviário'],1,0,0,1,0,1
Narón,Spain,0,1,1,39051,"['Tower of Hercules','Cathedral De Santiago de Compostela','Museo Molinos Mazonovo']",3,0,0,1,0,1
Marinha Grande,Portugal,0,1,1,38800,[],0,0,0,1,0,0
Trofa,Portugal,0,1,1,38999,"['Nossa Senhora das Dores Chapel','Igreja Paroquial de S. Cristóvão do Muro']",2,0,0,1,0,1
Ermezinde,Portugal,0,0,0,134985,['Museu da Magia Portugal'],1,0,1,0,0,1
Los Palacios y Villafranca,Spain,0,1,0,38698,['Museo Etnográfico y Tecnológico Juan Begines Maestre'],1,0,0,1,0,1
Arucas,Spain,0,1,1,38601,["musée municipal qui retrace l'histoire de la ville"],1,0,0,1,0,1
Aziylal,Morocco,0,1,0,134985,[],0,0,1,0,0,0
